rmse5,rmse20,rmse1,method,rmseC,seed,rmse10
1.904597402383187,1.7643808361520192,0.42620034225727094,KERNEL,2.432234981222288,26058,1.6517329848737383
1.9275928644650346,1.7962033883371131,0.5041564773550242,KERNEL,1.470808776575164,46189,1.676843922104589
1.8265641421917251,1.6632641603309417,0.3997786477972591,KERNEL,2.1351814524316812,77471,1.579970538069893
1.7428445130011745,1.6680627020226046,0.24398643217455862,KERNEL,2.8209613296220275,38315,1.521370427036469
1.7860991809187823,1.6541933105445181,0.3010421732919216,KERNEL,2.550632047068384,97565,1.5416753513158497
1.9922086437664175,1.842174745194495,0.6194587768855565,KERNEL,2.1229405425205847,60590,1.735908734535982
1.8981136937499639,1.777801249515572,0.48220418745695925,KERNEL,3.3635282850415154,11007,1.6549476834863828
1.7477375937663442,1.6437725501071254,0.2639889743497841,KERNEL,2.9964240988152495,48073,1.513390904595572
1.9394973097699175,1.8103028472843499,0.5035307067685633,KERNEL,2.147840593994702,69686,1.6898852031879545
1.8594520546039917,1.7272827805298567,0.40498139723989457,KERNEL,2.5338197262667674,1322,1.6176745761482445
1.85836605733942,1.7405732557545859,0.3480599463308829,KERNEL,2.1060832181702716,24415,1.6190106838189082
1.8663659844405005,1.7545923403995292,0.37072761317515346,KERNEL,2.6987636081618307,15318,1.6190733929352563
1.8371206700571021,1.7100190628393357,0.350793850200052,KERNEL,1.3662085798281436,16782,1.5906504310499696
1.9460254153237422,1.8004111123071067,0.5212022792303883,KERNEL,3.0780287261578643,96004,1.6915362573598711
1.8368610321653245,1.6925611655566921,0.36027108510474065,KERNEL,3.549411462199413,8694,1.5942628387473639
1.8291432280065663,1.7385200785314663,0.3445374527772458,KERNEL,3.1297587948095957,28757,1.5924606199426339
1.7397482648465183,1.6839040719276435,0.2694541169293706,KERNEL,2.4744678353212164,60467,1.5159555681153558
1.8192225760262168,1.7108657754071668,0.3540924579499082,KERNEL,2.450087625272542,29623,1.58083972455518
1.8656563694410202,1.746536920483755,0.39213257258747836,KERNEL,1.7096658137168943,86366,1.6254455142267203
1.8781693481597,1.722864118067997,0.46176947882902264,KERNEL,3.1492759543670625,18423,1.6368106715277557
1.7306538834732652,1.6754937497260605,0.26735868803975704,KERNEL,2.7558719868794155,46984,1.5167435004214054
1.8022148703724072,1.6375424098663682,0.3227991893060772,KERNEL,2.65243140164624,51568,1.5464746159710863
1.9650868115037579,1.810813172485166,0.5127014280120885,KERNEL,2.0800520388534216,67883,1.7080546867808857
1.780609508833822,1.692517173860663,0.30949615667580155,KERNEL,1.8552548403596254,89255,1.5542266258281947
1.8858934519326844,1.743694170395782,0.4161692300647991,KERNEL,2.1538648263493227,61917,1.625931028189328
1.7624306952506759,1.6743589639858782,0.27339919534786283,KERNEL,3.5616425596857053,30563,1.5372549251976113
6.118608528930189,4.3288563794626835,9.366840937615876,KERNEL,2.111554919464611,54133,5.18074409124012
1.7392426195462767,1.6695349467570695,0.3174438780999272,KERNEL,2.16212406850019,89053,1.5152339070725482
1.786011002183034,1.699425138888184,0.32889623274366064,KERNEL,3.609922618398686,37085,1.5539813981962434
1.9156191822768551,1.7821048124727594,0.5347614881457,KERNEL,2.5042807863061785,6871,1.6632261878695127
1.7326875758580864,1.6872971399130816,0.29073308715173507,KERNEL,3.536862732507055,4150,1.515611967010038
1.893245370536765,1.7715542846694303,0.42356200903640145,KERNEL,2.955196048463921,22918,1.6495593984915617
1.8285343715518152,1.7248778387467383,0.3385805677514244,KERNEL,1.9902465719189968,52212,1.586375783646423
5.490822420150159,4.135985151681095,8.623713154577464,KERNEL,2.0200922051183854,28020,4.685655929714939
1.7924174343384882,1.7050977425926226,0.35817065688770267,KERNEL,3.336370427620575,69377,1.56851093113791
1.8550116716208642,1.7708651693752353,0.37147351099561937,KERNEL,3.0357376477138827,49858,1.619886746840346
1.865333446854395,1.7152250492175243,0.3941526251106635,KERNEL,2.368686934439868,96331,1.6243348576082703
1.7879036173890284,1.624295820611305,0.31613940475566416,KERNEL,1.3705255786270998,16025,1.5470884805314389
1.7682777938334195,1.6900407645760904,0.2501020139427944,KERNEL,2.5003439868060835,93091,1.541149836087005
1.7622787677679237,1.657787478145849,0.24500156522044694,KERNEL,2.9875574296884477,79876,1.5395332530463208
1.8249843080215327,1.7124268022946478,0.2916795906553015,KERNEL,2.0700178950076156,88243,1.5875412568897467
1.8262857822184422,1.7369230536292146,0.3273517569743009,KERNEL,2.06349642091397,66214,1.597709045776358
1.8613382205352902,1.7261668804984893,0.40559805746500577,KERNEL,2.718940849491884,7296,1.6194771070429166
1.855316500754256,1.7711457151380443,0.34629737157766805,KERNEL,1.9836013253226994,91809,1.6202961658385315
1.7260129973829836,1.6119690246590204,0.3116223407062977,KERNEL,3.2821059684858556,91328,1.4851443453168545
1.7162240179977108,1.708331677038263,0.2141867541772719,KERNEL,2.73489485713522,19561,1.5179941560855914
1.8816025677300539,1.7032815133325276,0.4049963113284039,KERNEL,2.285575303966387,9503,1.624175965348192
1.754913804429265,1.6748460811980233,0.288896826408176,KERNEL,2.0747876687686753,44769,1.5282399091973666
1.720083591512024,1.6194828997664328,0.27660631869920993,KERNEL,1.642684598953377,27272,1.4961086490057482
1.8160056532404214,1.7234867270334309,0.3645682842368943,KERNEL,2.108980103882519,93050,1.586788972262158
