method,seed,train_size,r,K,h,time,rmseC,rmseC_alg,f1_1,f1_2,f1_3,macro_f1,weighted_f1,f1_1_dip,f1_2_dip,f1_3_dip,macro_f1_dip,weighted_f1_dip,rmse1,rmse5,rmse10,rmse12,rmse15,mae1,mae5,mae10,mae12,mae15,mape1,mape5,mape10,mape12,mape15,x_forecast,c_predicted
UDE-NN,96004,70,1,10,1,97.574,0.11379,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,0.3736,0.52449,1.17131,1.47469,1.59403,0.3736,0.49468,0.87465,1.13924,1.30727,14.54458,19.91586,20.95988,23.45692,24.57449,"[2.94223, 2.97322, 3.03616, 3.12706, 3.24274, 3.3802, 3.5362, 3.70711, 3.88881, 4.07684, 4.26668, 4.45414, 4.63565, 4.80859, 4.97131, 5.1231, 5.264, 5.39457, 5.51564, 5.62818]","[-0.26912, -0.20322, -0.09318, -0.15434, -0.00709, -0.07297, -0.09328, -0.13656, -0.09728, 0.1271, 0.1799, 0.1184, 0.19852, 0.06927, 0.08678, 0.06999, 0.16981, 0.10882, 0.02162, -0.00011, 0.07633, 0.18468, 0.18638, 0.12783, 0.1977, 0.19204, 0.28264, 0.28556, 0.31479, 0.36295, 0.4185, 0.48623, 0.40266, 0.16967, 0.09265, 0.06659, 0.09513, 0.27155, 0.34897, 0.38005, 0.40572, 0.39383, 0.29943, 0.30294, 0.38538, 0.44794, 0.47188, 0.51907, 0.53683, 0.48519, 0.44082, 0.40463, 0.49768, 0.43959, 0.35839, 0.55062, 0.51905, 0.72433, 0.73249, 0.63612, 0.6987, 0.66896, 0.63445, 0.6522, 0.64351, 0.56095, 0.52316, 0.61002, 0.66576, 0.67941]"
GP,96004,70,1,10,1,211.729,0.04785,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,0.36054,0.49937,1.17235,1.4724,1.5833,0.36054,0.46875,0.86525,1.12949,1.29222,14.03632,18.90285,20.50143,23.04624,24.1394,"[2.92918, 2.95084, 3.00748, 3.0948, 3.20945, 3.34839, 3.5083, 3.68536, 3.87513, 4.07267, 4.27288, 4.47094, 4.66274, 4.84521, 5.01647, 5.17575, 5.32317, 5.45943, 5.58555, 5.70265]","[-0.08366, -0.07239, -0.06112, -0.04985, -0.03858, -0.02731, -0.01604, -0.00477, 0.0065, 0.01777, 0.02904, 0.04031, 0.05158, 0.06285, 0.07412, 0.08539, 0.09666, 0.10793, 0.1192, 0.13047, 0.14174, 0.15301, 0.16428, 0.17555, 0.18682, 0.19809, 0.20936, 0.22063, 0.2319, 0.24317, 0.25444, 0.26571, 0.27698, 0.28825, 0.29952, 0.31079, 0.32206, 0.33333, 0.3446, 0.35587, 0.36714, 0.37841, 0.38968, 0.40095, 0.41222, 0.42349, 0.43476, 0.44603, 0.4573, 0.46857, 0.47984, 0.49111, 0.50238, 0.51365, 0.52492, 0.53619, 0.54746, 0.55873, 0.57, 0.58127, 0.59254, 0.60381, 0.61508, 0.62635, 0.63762, 0.64889, 0.66016, 0.67142, 0.68269, 0.69396]"
ARIMA,96004,70,1,10,1,18.438,,,,,,,,,,,,,0.44702,0.48548,1.66164,2.17804,2.58464,0.44702,0.4354,1.19426,1.63182,2.06179,17.40304,17.78615,26.67074,31.54574,36.35991,"[3.01566, 2.99995, 3.00365, 3.00277, 3.00298, 3.00293, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294, 3.00294]",
RandomWalk,96004,70,1,10,1,1.647,,,,,,,,,,,,,0.38029,0.43574,1.68674,2.20979,2.62185,0.38029,0.37933,1.19322,1.63997,2.07911,14.80524,15.58793,26.15118,31.24491,36.27891,"[2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893, 2.94893]",
LSTM,96004,70,1,10,1,43.553,,,,,,,,,,,,,2.16083,3.13456,4.5478,5.07614,5.54811,2.16083,3.08428,4.30174,4.77642,5.24539,84.12384,120.00094,116.53514,114.57943,112.65849,"[0.4078, -0.51823, -0.65198, -0.93908, -0.87195, -0.87607, -0.63964, -0.53223, -0.41307, -0.35475, -0.33157, -0.32289, -0.33341, -0.33714, -0.33947, -0.34067, -0.34112, -0.34195, -0.34224, -0.34251]",
Alg_c,96004,70,1,10,1,0,0.28384,0.28384,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.2638, 0.0, 0.43259, 0.0, 0.0, 0.0, 0.0, 0.43866, 0.40245, 0.0, 0.68644, 0.0, 0.23406, 0.0, 0.53025, 0.12884, 0.0, 0.0, 0.02763, 0.39159, 0.34396, 0.0, 0.46713, 0.0, 0.53317, 0.18022, 0.28573, 0.35713, 0.33589, 0.75364, 0.71733, 0.0, 0.01223, 0.0, 0.0, 0.46073, 0.41071, 0.3775, 0.47219, 0.5525, 0.11365, 0.15193, 0.417, 0.52785, 0.4141, 0.57229, 0.68021, 0.44142, 0.48779, 0.03302, 0.89294, 0.54139, 0.0, 1.26337, 0.0, 1.24938, 1.00925, 0.0, 1.09381, 0.64753, 0.45492, 0.70232, 0.89201, 0.46263, 0.17816, 0.77057, 0.76868]"
UDE-NN,19561,70,1,10,1,88.483,0.08679,0.20063,1,0,0,0.33333,1,0.82353,0,0,0.27451,0.57647,0.14941,1.0226,1.03272,1.08138,0.97098,0.14941,0.86191,0.89026,0.9501,0.79053,2.18821,16.00786,13.98594,14.12632,11.73748,"[6.67844, 6.5778, 6.57975, 6.62308, 6.68329, 6.74955, 6.81693, 6.88322, 6.94749, 7.00936, 7.06873, 7.12562, 7.18008, 7.2322, 7.28205, 7.32973, 7.3753, 7.41885, 7.46045, 7.50017]","[-0.07408, -0.07431, -0.10787, -0.02556, -0.00902, 0.01238, -0.0179, -0.10452, 0.0227, 0.10122, 0.3008, 0.32105, 0.1848, 0.14478, 0.1303, 0.13412, 0.10271, 0.03634, 0.00997, 0.13288, 0.14124, 0.22515, 0.21938, 0.29151, 0.30852, 0.33376, 0.40627, 0.29532, 0.2421, 0.28577, 0.22057, 0.23691, 0.20216, 0.30991, 0.38772, 0.51947, 0.48457, 0.48303, 0.44158, 0.40275, 0.3969, 0.41687, 0.40719, 0.44258, 0.5174, 0.57374, 0.62867, 0.58449, 0.57607, 0.4972, 0.4188, 0.44279, 0.47942, 0.539, 0.61754, 0.62785, 0.64753, 0.58215, 0.47585, 0.49989, 0.48939, 0.48984, 0.63136, 0.66748, 0.6336, 0.58951, 0.54745, 0.59404, 0.64742, 0.65808]"
GP,19561,70,1,10,1,217.365,0.02793,0.20063,1,0,0,0.33333,1,0.82353,0,0,0.27451,0.57647,0.13849,1.04334,1.03087,1.07045,0.96326,0.13849,0.87902,0.89297,0.94399,0.79544,2.02834,16.32821,14.10012,14.12087,11.872,"[6.68935, 6.59508, 6.60203, 6.64963, 6.71363, 6.78335, 6.85397, 6.92335, 6.99059, 7.05536, 7.11758, 7.17727, 7.2345, 7.28935, 7.34191, 7.39227, 7.44052, 7.48672, 7.53096, 7.57332]","[0.05017, 0.05882, 0.06747, 0.07611, 0.08476, 0.09341, 0.10206, 0.11071, 0.11936, 0.12801, 0.13666, 0.14531, 0.15395, 0.1626, 0.17125, 0.1799, 0.18855, 0.1972, 0.20585, 0.2145, 0.22315, 0.2318, 0.24044, 0.24909, 0.25774, 0.26639, 0.27504, 0.28369, 0.29234, 0.30099, 0.30964, 0.31829, 0.32694, 0.33559, 0.34424, 0.35288, 0.36153, 0.37018, 0.37883, 0.38748, 0.39613, 0.40478, 0.41343, 0.42208, 0.43073, 0.43938, 0.44802, 0.45667, 0.46532, 0.47397, 0.48262, 0.49127, 0.49992, 0.50857, 0.51722, 0.52587, 0.53451, 0.54316, 0.55181, 0.56046, 0.56911, 0.57776, 0.58641, 0.59506, 0.60371, 0.61235, 0.621, 0.62965, 0.6383, 0.64695]"
ARIMA,19561,70,1,10,1,18.698,,,,,,,,,,,,,1.0388,2.96194,2.72184,2.60319,2.75785,1.0388,2.75415,2.5471,2.43367,2.60745,15.21412,49.83615,41.64736,38.46708,40.10455,"[7.86664, 8.24351, 8.63122, 8.94516, 9.21584, 9.44516, 9.64038, 9.80635, 9.94751, 10.06754, 10.16962, 10.25643, 10.33026, 10.39304, 10.44643, 10.49183, 10.53044, 10.56328, 10.5912, 10.61495]",
RandomWalk,19561,70,1,10,1,1.213,,,,,,,,,,,,,0.25882,1.41251,1.23652,1.24739,1.11775,0.25882,1.26034,1.10817,1.13344,0.9343,3.79069,23.09655,17.97826,17.47646,14.36774,"[7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667, 7.08667]",
LSTM,19561,70,1,10,1,44.699,,,,,,,,,,,,,4.60855,5.40228,5.06743,5.0277,5.19194,4.60855,5.37371,5.02938,4.9941,5.14956,67.49639,94.37191,79.55584,75.95041,77.04315,"[11.43639, 11.13691, 11.06928, 11.03364, 11.32394, 11.2353, 11.71065, 11.64807, 13.17134, 12.8666, 13.23661, 13.09183, 13.51687, 11.95385, 13.10542, 10.66182, 12.2795, 10.21365, 11.62018, 11.75618]",
Alg_c,19561,70,1,10,1,0,0.20063,0.20063,1,0,0,0.33333,1,0.81633,0,0,0.27211,0.56298,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.12961, 0.0, 0.12757, 0.04936, 0.0, 0.09744, 0.0, 0.68263, 0.65632, 0.0, 0.03858, 0.08361, 0.21519, 0.1858, 0.0, 0.0, 0.32134, 0.03878, 0.4101, 0.03463, 0.39718, 0.2887, 0.22172, 0.78185, 0.15639, 0.04591, 0.5087, 0.02808, 0.35404, 0.0, 0.33927, 0.27877, 0.85483, 0.43362, 0.5578, 0.41904, 0.33016, 0.35231, 0.46867, 0.30685, 0.34642, 0.55357, 0.61343, 0.83149, 0.52535, 0.72217, 0.49352, 0.20902, 0.40122, 0.43238, 0.4871, 0.76507, 0.60796, 0.81763, 0.63861, 0.22724, 0.52591, 0.46031, 0.20477, 0.84693, 0.81991, 0.65508, 0.60511, 0.36233, 0.58797, 0.74082]"
UDE-NN,44769,70,1,10,1,87.261,0.10039,0.29066,1,0,0,0.33333,1,1,0,0,0.33333,1,0.25739,0.34548,1.24626,1.35345,1.26524,0.25739,0.32249,0.97056,1.10651,1.02479,2.79792,3.52115,9.0922,10.29549,9.62937,"[9.45688, 9.38704, 9.35515, 9.32888, 9.30372, 9.27898, 9.25453, 9.23035, 9.20644, 9.18277, 9.15933, 9.13612, 9.11313, 9.09035, 9.06777, 9.04538, 9.02317, 9.00113, 8.97926, 8.95755]","[0.08867, -0.02978, -0.00462, 0.04628, 0.1336, 0.12321, 0.07998, 0.0606, 0.09809, 0.08325, 0.05359, 0.03236, 0.10207, 0.15322, 0.07054, 0.02609, 0.00022, 0.13171, 0.17972, 0.19123, 0.22585, 0.28775, 0.29524, 0.40102, 0.4085, 0.26327, 0.30379, 0.32548, 0.44135, 0.44475, 0.42195, 0.44014, 0.31015, 0.347, 0.38511, 0.34568, 0.31718, 0.2805, 0.16407, 0.16666, 0.21918, 0.42503, 0.35838, 0.32398, 0.38699, 0.45347, 0.48829, 0.55775, 0.53653, 0.51508, 0.53764, 0.53935, 0.55195, 0.6001, 0.52237, 0.51805, 0.45382, 0.5569, 0.76852, 0.59772, 0.51499, 0.431, 0.45842, 0.64828, 0.68211, 0.75899, 0.77953, 0.92989, 0.87866, 0.89026]"
GP,44769,70,1,10,1,220.239,0.01935,0.29066,1,0,0,0.33333,1,1,0,0,0.33333,1,0.44779,0.46077,1.11339,1.19668,1.11087,0.44779,0.36418,0.87195,0.98262,0.90843,4.8676,4.05051,8.25345,9.21481,8.61461,"[9.64728, 9.60208, 9.57727, 9.55485, 9.53297, 9.51143, 9.49019, 9.46924, 9.44856, 9.42815, 9.408, 9.38809, 9.36843, 9.34899, 9.32977, 9.31077, 9.29197, 9.27337, 9.25496, 9.23672]","[0.0299, 0.03958, 0.04926, 0.05895, 0.06863, 0.07831, 0.08799, 0.09767, 0.10736, 0.11704, 0.12672, 0.1364, 0.14608, 0.15577, 0.16545, 0.17513, 0.18481, 0.1945, 0.20418, 0.21386, 0.22354, 0.23322, 0.24291, 0.25259, 0.26227, 0.27195, 0.28164, 0.29132, 0.301, 0.31068, 0.32037, 0.33005, 0.33973, 0.34941, 0.35909, 0.36878, 0.37846, 0.38814, 0.39782, 0.40751, 0.41719, 0.42687, 0.43655, 0.44624, 0.45592, 0.4656, 0.47528, 0.48496, 0.49465, 0.50433, 0.51401, 0.52369, 0.53338, 0.54306, 0.55274, 0.56242, 0.5721, 0.58179, 0.59147, 0.60115, 0.61083, 0.62051, 0.6302, 0.63988, 0.64956, 0.65924, 0.66892, 0.67861, 0.68829, 0.69797]"
ARIMA,44769,70,1,10,1,19.695,,,,,,,,,,,,,0.74787,0.57895,1.3052,1.42815,1.34515,0.74787,0.53766,1.07937,1.21959,1.12578,8.12949,5.8903,10.27386,11.48541,10.67277,"[9.94735, 10.03647, 9.83322, 9.66271, 9.51965, 9.39964, 9.29894, 9.21447, 9.14359, 9.08413, 9.03425, 8.99239, 8.95728, 8.92782, 8.90311, 8.88237, 8.86498, 8.85038, 8.83814, 8.82786]",
RandomWalk,44769,70,1,10,1,1.158,,,,,,,,,,,,,0.83234,0.84478,0.9279,0.92714,0.88402,0.83234,0.7696,0.7935,0.81162,0.76268,9.04769,8.46339,7.86583,7.92515,7.56081,"[10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182, 10.03182]",
LSTM,44769,70,1,10,1,44.406,,,,,,,,,,,,,1.12537,2.74996,2.9495,3.03199,3.46574,1.12537,2.42917,2.76355,2.87077,3.25432,12.23299,26.69352,27.78077,28.35168,32.69158,"[10.32485, 10.87449, 11.62753, 12.47069, 13.15944, 13.6544, 13.90676, 14.0025, 14.02932, 14.14285, 14.30573, 14.376, 14.43818, 14.46739, 14.4883, 14.49993, 14.50662, 14.50966, 14.51079, 14.51103]",
Alg_c,44769,70,1,10,1,0,0.29066,0.29066,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.35449, 0.0, 0.0, 0.0, 0.33191, 0.18075, 0.04672, 0.0, 0.20111, 0.10435, 0.04914, 0.0, 0.15009, 0.42451, 0.0, 0.0, 0.0, 0.30063, 0.23507, 0.14655, 0.16017, 0.42454, 0.06987, 0.58606, 0.76233, 0.0, 0.36508, 0.11439, 0.67346, 0.48686, 0.28369, 0.84597, 0.0, 0.36203, 0.54678, 0.31449, 0.30972, 0.46684, 0.0, 0.14279, 0.0, 1.03455, 0.20075, 0.12675, 0.38702, 0.52777, 0.37907, 0.76656, 0.5153, 0.40998, 0.60583, 0.51916, 0.40701, 0.96341, 0.23049, 0.84656, 0.03469, 0.22775, 1.68399, 0.30728, 0.52891, 0.22563, 0.1368, 0.96633, 0.59242, 0.86833, 0.47407, 1.37875, 0.7275]"
UDE-NN,1322,70,1,10,1,99.435,0.13148,0.25534,1,0,0,0.33333,1,1,0,0,0.33333,1,0.31128,0.28574,1.60961,1.68437,1.84921,0.31128,0.25457,1.16721,1.30579,1.51777,3.5791,2.91582,10.49625,11.74529,13.51248,"[9.00832, 9.05767, 9.06799, 9.07198, 9.07464, 9.07673, 9.07835, 9.07954, 9.08031, 9.08067, 9.08065, 9.08024, 9.07946, 9.07833, 9.07684, 9.07502, 9.07287, 9.0704, 9.06763, 9.06455]","[-0.21688, -0.11142, -0.04262, 0.02349, 0.04166, -0.00502, 0.0585, 0.04857, 0.18025, 0.27017, 0.14227, 0.1528, 0.2338, 0.16321, 0.20133, 0.19979, 0.24944, 0.36295, 0.21091, 0.07652, 0.11167, 0.08535, 0.10907, 0.14254, 0.23231, 0.34017, 0.23006, 0.20225, 0.37913, 0.30173, 0.29314, 0.2284, 0.11076, 0.12341, 0.08154, 0.08587, 0.15499, 0.19296, 0.43897, 0.56003, 0.68791, 0.60491, 0.53204, 0.49501, 0.46409, 0.48831, 0.54116, 0.63605, 0.65133, 0.67257, 0.6423, 0.61116, 0.69867, 0.64201, 0.64617, 0.72958, 0.74192, 0.72795, 0.6356, 0.55741, 0.51692, 0.49539, 0.47862, 0.5424, 0.62381, 0.60984, 0.54806, 0.4944, 0.45321, 0.46305]"
GP,1322,70,1,10,1,208.863,0.0095,0.25534,1,0,0,0.33333,1,1,0,0,0.33333,1,0.08257,0.13639,1.78208,1.87704,2.0613,0.08257,0.10337,1.23047,1.40497,1.65308,0.94942,1.16346,10.87293,12.47892,14.58887,"[8.77961, 8.78822, 8.79247, 8.79543, 8.79776, 8.79958, 8.80093, 8.80183, 8.8023, 8.80234, 8.80198, 8.80122, 8.80008, 8.79856, 8.79668, 8.79445, 8.79188, 8.78897, 8.78574, 8.78219]","[0.01471, 0.02456, 0.03442, 0.04427, 0.05413, 0.06399, 0.07384, 0.0837, 0.09355, 0.10341, 0.11326, 0.12312, 0.13297, 0.14283, 0.15269, 0.16254, 0.1724, 0.18225, 0.19211, 0.20196, 0.21182, 0.22168, 0.23153, 0.24139, 0.25124, 0.2611, 0.27095, 0.28081, 0.29067, 0.30052, 0.31038, 0.32023, 0.33009, 0.33994, 0.3498, 0.35966, 0.36951, 0.37937, 0.38922, 0.39908, 0.40894, 0.41879, 0.42865, 0.4385, 0.44836, 0.45822, 0.46807, 0.47793, 0.48778, 0.49764, 0.50749, 0.51735, 0.52721, 0.53706, 0.54692, 0.55677, 0.56663, 0.57648, 0.58634, 0.59619, 0.60605, 0.6159, 0.62576, 0.63561, 0.64547, 0.65532, 0.66518, 0.67503, 0.68489, 0.69475]"
ARIMA,1322,70,1,10,1,18.952,,,,,,,,,,,,,0.28547,0.34317,1.99685,2.10843,2.30704,0.28547,0.31645,1.48865,1.67072,1.92575,3.28234,3.5736,13.44585,15.07992,17.1953,"[8.41157, 8.52757, 8.48798, 8.50149, 8.49688, 8.49846, 8.49792, 8.4981, 8.49804, 8.49806, 8.49805, 8.49806, 8.49806, 8.49806, 8.49806, 8.49806, 8.49806, 8.49806, 8.49806, 8.49806]",
RandomWalk,1322,70,1,10,1,1.186,,,,,,,,,,,,,0.05442,0.14877,1.81589,1.91395,2.10021,0.05442,0.10315,1.25533,1.43405,1.68573,0.62569,1.15535,11.09378,12.73843,14.87874,"[8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146, 8.75146]",
LSTM,1322,70,1,10,1,44.597,,,,,,,,,,,,,3.18822,4.218,5.68523,5.85731,6.10942,3.18822,4.18118,5.48928,5.68205,5.94905,36.65862,47.44423,54.0737,55.05518,56.29854,"[5.50883, 4.41366, 4.63413, 4.29273, 4.2525, 4.23972, 4.28571, 4.3778, 4.43637, 4.46832, 4.43696, 4.42945, 4.43032, 4.42654, 4.42379, 4.42192, 4.42105, 4.42119, 4.42175, 4.42214]",
Alg_c,1322,70,1,10,1,0,0.25534,0.25534,1,0,0,0.33333,1,1,0,0,0.33333,1,,,,,,,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.13024, 0.16713, 0.0, 0.14083, 0.0, 0.31171, 0.73955, 0.0, 0.04004, 0.53261, 0.0, 0.21892, 0.08156, 0.12741, 0.89088, 0.23358, 0.0, 0.19379, 0.0, 0.07161, 0.02692, 0.18561, 0.80016, 0.0, 0.0, 0.87581, 0.15197, 0.40362, 0.31831, 0.0, 0.1853, 0.0, 0.0, 0.18463, 0.0, 0.6411, 0.57522, 1.11372, 0.63018, 0.45842, 0.45965, 0.34223, 0.41202, 0.45944, 0.79394, 0.63364, 0.77724, 0.63022, 0.38696, 0.99653, 0.47423, 0.48174, 0.87276, 0.74304, 0.90246, 0.57462, 0.48296, 0.49375, 0.52865, 0.30427, 0.50253, 0.81862, 0.6808, 0.50916, 0.4907, 0.34467]"
UDE-NN,16782,70,1,10,1,97.799,0.18253,0.39772,1,0,0,0.33333,1,1,0,0,0.33333,1,1.51628,1.18208,1.46472,1.37325,1.26564,1.51628,1.13652,1.37988,1.25551,1.13811,25.78126,21.29861,24.40829,22.3438,20.72073,"[4.36504, 4.15813, 4.04373, 3.98992, 3.97976, 4.00307, 4.05299, 4.12443, 4.21317, 4.31549, 4.42792, 4.5472, 4.67027, 4.79439, 4.91717, 5.03672, 5.15158, 5.26081, 5.36385, 5.46053]","[-0.00557, 0.00215, -0.03488, 0.10134, 0.09195, 0.04239, -0.07593, -0.04474, -0.12229, -0.13622, -0.04951, 0.04659, -0.10464, 0.32751, 0.38281, 0.37485, 0.36956, 0.49597, 0.48436, 0.17792, 0.16486, 0.08842, 0.09726, 0.04449, -0.0082, -0.16296, -0.04239, 0.12252, 0.09541, 0.28685, 0.32681, 0.45066, 0.51242, 0.51282, 0.32859, 0.39417, 0.30981, 0.38778, 0.29557, 0.25638, 0.42979, 0.23749, 0.08213, 0.11367, 0.24188, 0.35448, 0.30979, 0.22555, 0.05858, 0.15644, 0.45324, 0.43039, 0.44047, 0.5287, 0.51233, 0.43548, 0.43448, 0.38994, 0.61158, 0.62342, 0.51248, 0.65007, 0.75021, 0.86477, 0.92059, 0.79141, 0.59621, 0.64146, 1.01787, 1.03292]"
GP,16782,70,1,10,1,208.727,0.03683,0.39772,1,0,0,0.33333,1,1,0,0,0.33333,1,1.16327,0.67658,0.62907,0.7313,0.95279,1.16327,0.55731,0.53698,0.59981,0.76047,19.77902,10.16358,9.44199,11.2596,15.42336,"[4.71805, 4.75864, 4.83622, 4.93715, 5.05214, 5.17462, 5.29991, 5.42475, 5.54696, 5.66523, 5.77884, 5.88747, 5.9911, 6.08985, 6.18393, 6.27357, 6.35903, 6.44054, 6.51833, 6.5926]","[-0.04537, -0.03509, -0.0248, -0.01452, -0.00424, 0.00605, 0.01633, 0.02661, 0.03689, 0.04718, 0.05746, 0.06774, 0.07803, 0.08831, 0.09859, 0.10888, 0.11916, 0.12944, 0.13973, 0.15001, 0.16029, 0.17058, 0.18086, 0.19114, 0.20143, 0.21171, 0.22199, 0.23228, 0.24256, 0.25284, 0.26313, 0.27341, 0.28369, 0.29398, 0.30426, 0.31454, 0.32483, 0.33511, 0.34539, 0.35568, 0.36596, 0.37624, 0.38653, 0.39681, 0.40709, 0.41738, 0.42766, 0.43794, 0.44823, 0.45851, 0.46879, 0.47908, 0.48936, 0.49964, 0.50993, 0.52021, 0.53049, 0.54078, 0.55106, 0.56134, 0.57163, 0.58191, 0.59219, 0.60248, 0.61276, 0.62304, 0.63333, 0.64361, 0.65389, 0.66418]"
ARIMA,16782,70,1,10,1,17.489,,,,,,,,,,,,,1.14497,0.67932,0.97023,0.91921,0.86443,1.14497,0.55924,0.79398,0.75732,0.71923,19.46796,10.12459,13.51849,13.16383,12.9301,"[4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634]",
RandomWalk,16782,70,1,10,1,1.107,,,,,,,,,,,,,1.14497,0.67932,0.97023,0.91921,0.86443,1.14497,0.55924,0.79398,0.75732,0.71923,19.46796,10.12459,13.51849,13.16383,12.9301,"[4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634, 4.73634]",
LSTM,16782,70,1,10,1,43.627,,,,,,,,,,,,,1.40883,3.89291,3.9891,4.00805,3.82691,1.40883,3.58805,3.78988,3.84169,3.66781,23.95433,71.33476,71.35731,73.51739,71.83667,"[7.29014, 8.11383, 8.70179, 9.84422, 10.20946, 10.62111, 9.58722, 9.19326, 9.56889, 9.81342, 9.67482, 8.36492, 8.19203, 7.61805, 7.16234, 6.73519, 6.35397, 6.67819, 6.48435, 7.31198]",
Alg_c,16782,70,1,10,1,0,0.39772,0.39772,0.98925,0,0,0.32975,0.98925,0.97674,0,0,0.32558,0.97674,,,,,,,,,,,,,,,,,"[0.01011, 0.09453, 0.0, 0.3941, 0.15537, 0.23276, 0.0, 0.24581, 0.0, 0.0, 0.0, 0.37977, 0.0, 0.90962, 0.53471, 0.37289, 0.1378, 0.73877, 1.05085, 0.0, 0.15797, 0.0, 0.19461, 0.09642, 0.17449, 0.0, 0.0, 0.4775, 0.0, 0.53657, 0.19384, 0.57313, 0.61532, 0.99437, 0.0, 0.75849, 0.0, 0.86795, 0.14573, 0.0, 1.29219, 0.0582, 0.0, 0.0, 0.26833, 0.66373, 0.3286, 0.42016, 0.0, 0.0, 1.1553, 0.26346, 0.2441, 0.76362, 0.63814, 0.21967, 0.68148, 0.0, 1.18672, 0.96374, 0.0, 0.90506, 0.6583, 0.92065, 1.28427, 1.01757, 0.08644, 0.0, 1.90552]"
UDE-NN,15318,70,1,10,1,97.659,0.23157,0.45038,1,0,0,0.33333,1,0.18182,0,0,0.06061,0.01818,0.93268,0.69916,0.62568,0.6145,1.0582,0.93268,0.61369,0.54211,0.5357,0.80794,5.91656,3.93798,3.58733,3.6443,6.3899,"[14.83125, 15.16058, 14.73087, 14.67182, 14.44617, 14.30277, 14.13134, 13.97862, 13.82531, 13.67875, 13.53597, 13.39784, 13.26386, 13.134, 13.00811, 12.88605, 12.7677, 12.65294, 12.54165, 12.43372]","[0.05945, 0.22345, 0.23435, 0.01052, 0.03605, 0.04617, -0.11239, -0.13302, 0.03647, 0.18235, 0.1926, 0.10606, 0.06542, 0.16566, 0.09103, 0.26513, 0.26313, 0.05217, 0.00189, 0.15749, 0.21174, 0.24558, 0.35116, 0.51151, 0.59089, 0.39878, 0.44056, 0.41602, 0.31843, 0.35319, 0.47514, 0.42988, 0.23231, 0.37263, 0.33696, 0.45513, 0.5479, 0.56729, 0.46358, 0.58384, 0.76555, 0.69897, 0.6909, 0.65908, 0.8847, 0.94474, 0.84267, 0.68431, 0.77485, 0.64296, 0.91208, 0.68565, 0.3694, 0.08446, 0.03351, 0.1202, 0.07715, 0.1446, 0.27324, 0.29025, 0.45671, 0.60754, 0.73068, 0.70141, 0.4544, 0.4186, 0.30644, 0.34186, 0.46468, 0.47074]"
