AutoAR_time,method,rmse1,rmse10,rmse20,rmse5,seed
41874 milliseconds,ARIMA,1.61400558985539,8.036694747858492,8.048730695091503,7.208543551696306,38315
49266 milliseconds,ARIMA,12.75790179304547,13.174915688098777,13.057861162158321,13.12961999314986,97565
40649 milliseconds,ARIMA,1.9135308709612033,6.509953689631811,6.5193676223088115,5.893901806074234,51568
54931 milliseconds,ARIMA,0.863060823714795,6.539189013470988,6.601446311544183,5.868200065592033,93091
99549 milliseconds,ARIMA,7.003248299395336,4.643221657185992,4.389897632333473,5.333743171983542,6871
101922 milliseconds,ARIMA,11.532944871227038,7.660762006398915,7.535998670296866,8.828766862528227,4150
54598 milliseconds,ARIMA,1.264978219736773,3.6827658921637867,3.6540003120126174,3.3572971582067486,27272
45620 milliseconds,ARIMA,4.227417206256852,6.900099503747802,7.261699249385751,6.386157494548375,44769

188829 milliseconds,ARIMA,12.777890807125894,8.406143004284822,7.388763582752337,10.050376855670454,69377
212319 milliseconds,ARIMA,0.09020706765945974,7.2241576614939955,7.238127511414052,6.50149812387389,46189
185677 milliseconds,ARIMA,3.14753610854076,2.7528192985399556,3.5106594365462422,2.7090568179520873,60467
139456 milliseconds,ARIMA,9.713969610600438,7.402159426693401,7.280581530121555,8.092238829167874,15318
181823 milliseconds,ARIMA,8.348528550084652,11.414789517130254,11.020864368538165,10.929796251872546,11007
131435 milliseconds,ARIMA,3.9812351372400823,9.192615457791979,9.407590953647372,8.295601093489164,9503
251347 milliseconds,ARIMA,6.447245285316242,5.224496098987625,5.326513861956199,5.438353448078097,60590
151548 milliseconds,ARIMA,8.453567078523687,6.55427288811843,6.239783331950673,7.216966232813542,28757
136721 milliseconds,ARIMA,8.735300972081914,6.314073722268802,6.534279705999047,6.81544483915561,52212
292854 milliseconds,ARIMA,1.0905967945665669,7.849470757052602,7.8030623908124355,7.120882910734644,86366
201915 milliseconds,ARIMA,7.337023131581982,5.195573081504537,4.534622828997541,5.703900323518428,46984
212521 milliseconds,ARIMA,11.205895491261286,7.843579653519049,8.072838137636287,8.786043555993574,30563
308201 milliseconds,ARIMA,10.975185498280943,7.630201240757915,7.121926068836676,8.897825586003993,28020
282179 milliseconds,ARIMA,0.7867513179775004,1.003350655766194,1.6763310100275455,0.9065422875842799,77471
222237 milliseconds,ARIMA,8.69370023391521,9.078884454414968,9.005106943928036,9.056407839215023,48073
279259 milliseconds,ARIMA,10.78287931651554,7.423711177213518,7.203243800772241,8.1915087985793,66214
343556 milliseconds,ARIMA,10.928710361854698,8.452053253468303,8.753072743309493,8.957786008950636,37085
282996 milliseconds,ARIMA,5.792271602011822,6.143508046143715,5.630478887898205,6.431784125009827,89255
316826 milliseconds,ARIMA,5.16766916118252,7.640290621645397,7.607721986544373,6.999446180514687,16782
282120 milliseconds,ARIMA,7.344812420025251,6.3986648087816365,6.438182995310117,6.4365459853318905,96004
330949 milliseconds,ARIMA,5.043641743827472,5.521755150939935,5.455970565582253,5.4163515759218095,29623
371580 milliseconds,ARIMA,5.06301686414537,7.84168099024557,7.9829477438013425,7.226949279277175,69686
425703 milliseconds,ARIMA,3.6867434403140242,3.7898769768003056,4.224289314875262,3.562287977374919,67883
438639 milliseconds,ARIMA,11.794678344102916,7.465814351770598,6.099621542830274,8.83262869208347,91328
443380 milliseconds,ARIMA,1.379545977060543,7.685628344558734,7.59390964919549,6.956879443437802,16025
535585 milliseconds,ARIMA,4.512288761240829,6.766892516493641,6.748933070350962,6.43655105598027,93050
682382 milliseconds,ARIMA,1.5359107875447826,6.035804919129578,6.072555993633008,5.380755234308611,89053
1045838 milliseconds,ARIMA,2.523694483969722,1.3524671448843297,1.0581239244522815,1.6775470434213784,26058
1315245 milliseconds,ARIMA,0.2835804113908327,0.7488652924483609,0.7636614506511427,0.6489343935058487,7296
1312488 milliseconds,ARIMA,2.2021713618822405,4.416785386649402,4.396849150184382,4.153309958023508,22918
1336922 milliseconds,ARIMA,5.533831233730351,3.899750636388683,3.5920872608587877,4.319896080560181,8694
1595265 milliseconds,ARIMA,4.980790750831831,3.69612451417864,3.56157253773583,3.977662976391262,24415
1751227 milliseconds,ARIMA,9.211024818140377,6.736075915325473,7.0494935892893755,7.404204093478169,96331
1914020 milliseconds,ARIMA,6.05390467134574,3.6518485748676155,3.4402048891022616,4.249954628928458,54133
2871571 milliseconds,ARIMA,1.3336033068397564,4.498092728669557,4.428375872983587,4.012805879616773,88243
2917093 milliseconds,ARIMA,6.919985579855668,3.8610677683739834,3.751270460923234,4.564924084061754,1322
3200193 milliseconds,ARIMA,2.4232919634109393,5.708006035127687,5.628398550828923,5.2352127979497,61917
3525686 milliseconds,ARIMA,10.224334668648886,6.98136377734036,6.429227667672692,7.561894855714182,19561
3768044 milliseconds,ARIMA,1.9646170121852702,6.868659375466908,6.850311959252311,6.177425858274344,91809
3923190 milliseconds,ARIMA,7.698091263126905,5.4713504976267435,5.971410763296056,5.796142567664412,49858
