method,opt_time,rmse1,rmse10,rmse20,rmse5,seed
LSTM,135166,4.8064136870544125,5.904874814169402,6.113788281145358,6.284477546163047,15318
LSTM,132356,5.350716587722483,6.386172913364842,7.6778795931392905,5.759122091888246,51568
LSTM,136124,3.3125928214791815,3.960855069645666,5.48847952044443,2.4574198027578507,48073
LSTM,137862,5.847955511595601,4.016975594622469,5.2880758672539825,5.037849734784957,86366
LSTM,142440,1.5582596970138725,3.064250908436987,4.497042053500218,2.227524863216508,69686
LSTM,145434,2.3209051617782697,4.976677315202252,6.381199399037845,2.8191081383143337,28757
LSTM,145264,4.948891735045469,4.841055667921335,5.22139272787858,6.167564570872437,8694
LSTM,136678,1.8828262762715264,4.60087874793526,4.928786228567866,3.5754139779358374,24415
LSTM,150185,3.6116602370707476,5.241685945639775,5.269359198310315,4.8175196203227495,16782
LSTM,152997,3.5503768002855773,3.4969705577313825,4.084179181654716,2.2819421299085976,1322
LSTM,140512,2.7156017780598756,4.853492530863769,5.269736470788003,2.531348900836859,89255
LSTM,154503,9.541436260593171,6.59437123853282,6.844795379660372,7.315409906951114,61917
LSTM,158335,8.301365015957176,10.286902103509817,9.79391300385327,10.001356156313484,46189
LSTM,159616,6.80749749793355,7.205519767721642,7.260414258220616,7.165600950210299,46984
LSTM,128956,1.1672076901845863,3.3158132594197687,4.3881665991475,1.2605027093292063,18423
3
LSTM,154729,3.7664880858988004,5.352150105269449,7.098686953487145,3.886707371155456,96004
LSTM,179035,5.660774831037871,6.894491558999708,7.256540943552705,5.980339926609704,22918
LSTM,186731,5.78770215737758,6.648388881543683,6.253296758883438,5.824270068274793,27272
LSTM,129709,1.799223758385383,6.984902162646111,5.4452510020620295,8.896188840904996,26058
LSTM,194478,5.350751919687637,7.367009075694131,7.069312946376423,7.598162709613083,4150
LSTM,193769,5.0344798758178415,7.5041505435445295,7.295454565882999,7.062279589459768,9503
LSTM,198668,6.298525357958443,9.17685259117291,8.938646274130383,8.079833364366689,91809
LSTM,203393,6.617982799816647,9.991824749984877,9.884245173465345,10.794723060463614,16025
LSTM,134841,5.741048938997848,3.8135946512906393,3.9798188030506974,4.190224223864433,38315
LSTM,207275,3.9804823184189124,6.343947739547259,6.545690050627553,5.355348613412206,88243
LSTM,130724,0.15811222437425876,3.6298363691600737,4.513620092590611,3.675691543603355,77471
LSTM,208621,8.578768853213093,7.675817737748284,6.903839062548879,7.197730980346597,91328
LSTM,201572,2.268684949043068,5.050035303048988,5.64995284863665,3.5438531761175898,93091
LSTM,200193,4.9492656247272215,6.4115708540763965,6.085008814575547,5.27248463309002,52212
LSTM,205845,4.863726349415136,4.6373179912790405,4.746162982581576,4.441552742121727,93050
LSTM,213157,3.7533268200169,5.107882091759143,5.130248986394515,5.309892226800388,69377
58
LSTM,210994,2.026549707702116,8.645421866611683,6.647016064911023,8.44216311283326,96331
LSTM,133792,1.8231731588516664,4.606048665712776,4.77370521847209,4.033475760319741,97565
LSTM,228008,2.9266650059696353,4.95277299413097,5.190207178114473,4.8165459252710505,19561
LSTM,130598,5.562971486724866,6.354091804717468,6.613941742894793,5.953324256126655,60467
LSTM,211817,4.654402187157764,2.07814953957545,4.196563447268675,2.8895347744997872,28020
LSTM,142762,3.207202729560246,3.967897808915622,4.898757509823326,2.8366370532515925,11007
LSTM,216863,4.848131592971784,5.828833516893026,5.203647104075116,5.771950647361539,66214
LSTM,209305,3.66711090173353,3.489546923241626,4.1391824507094706,4.777690447678282,79876
LSTM,318212,7.717484099414943,5.5893287255783655,5.35238345909272,7.6191233930891915,37085
LSTM,335956,4.927572959712592,3.3047027459755762,3.3285082494695186,3.5561458800590082,54133
LSTM,343287,2.574745399197755,6.6128606984733596,6.895658852446469,7.675987897344932,30563
LSTM,358619,3.7440182360007066,2.976678179188734,3.8707392181235023,2.62663190145809,6871
LSTM,370131,5.430647205572214,5.695717532812274,5.777181761634009,5.599854508773552,89053
