rmse5,rmse20,rmse1,method,rmseC,seed,rmse10
0.046970161706705905,0.02944185949951127,0.06216594096566974,UDE,0.27675334429453413,26058,0.03331582732388813
0.045044717674219595,0.10230199132879882,0.03907376374030508,UDE,0.6093399887524273,46189,0.08326883918064824
0.05603627544228321,0.18771531856528686,0.01518028580533859,UDE,0.15531149541424402,77471,0.1270834300758953
0.07480621231026552,0.11131081190020894,0.0710909786508167,UDE,0.3573087373027492,38315,0.10795723148695416
0.1402830503706098,0.10030915724749752,0.23882324549241074,UDE,0.29761625611429277,97565,0.1267476155287244
0.060370037307898854,0.052430612975384774,0.05321091729158062,UDE,0.3285691116048991,60590,0.06409006785067256
0.029951920866118795,0.045046403897241405,0.016814921900841245,UDE,0.26799089126847875,11007,0.03399046885460893
0.18067792415795514,0.10145715222451086,0.3205356005355803,UDE,0.32397863354302164,48073,0.12881212329374653
0.053776945794832755,0.07650171071851675,0.04723755970554708,UDE,0.4014679668944162,69686,0.06844465809713589
0.04906891804522057,0.03950618393718697,0.08017402746652486,UDE,0.2526958421530573,1322,0.03726311868003006
0.10422851360987727,0.06568606055735524,0.18738986667963084,UDE,0.31607649673293586,24415,0.08876510939597318
0.08596252847531334,0.0817726657301192,0.16411855122997757,UDE,0.4602066660316895,15318,0.07350824446867174
0.027327747305692922,0.029038405608686185,0.005045166376839272,UDE,0.6347000076708079,16782,0.02518895510119423
0.16822110607592114,0.2254335622146458,0.14357971080835308,UDE,0.369485897915634,96004,0.2042195979543735
0.010908422741183308,0.061791377983173884,0.00784873252015611,UDE,0.15251388191655002,8694,0.011503134576393558
0.017530002012079673,0.0783713510917788,0.013187220667425559,UDE,0.30402289308262576,28757,0.03876176727034723
0.0482522159424863,0.07571232187398924,0.028812585313019,UDE,0.5220082285592015,60467,0.04632616149134997
0.01832837135829935,0.02117387352362154,0.03993682238997048,UDE,0.9570758140084563,86366,0.025638338316550963
0.011540604449046064,0.10305145781502864,0.010485858292461209,UDE,0.2091080969107851,18423,0.037287214768515625
0.0425866442649194,0.09056064197929689,0.06124505904683769,UDE,0.6064670103479537,46984,0.04787397544677255
0.040226915909220506,0.13915056311320256,0.009214678060386838,UDE,0.6872498651256541,51568,0.0871931911460765
0.0665445502968458,0.060225518098552304,0.02282364321037339,UDE,0.28655732285708285,67883,0.07719968050371706
0.38313892518073506,0.3597814745558063,0.3895038604441526,UDE,0.6402589669754069,89255,0.37805104707324183
0.030223595273140905,0.025172911525373418,0.03219833262448754,UDE,0.3212526238098026,61917,0.03297674198386888
0.035755441325106746,0.04004714172354029,0.0657321281771388,UDE,0.3507245599519296,30563,0.03706217591002292
0.6337504046499273,0.6374886521567764,0.8510543997379241,UDE,0.35171528064472873,54133,0.7228336214271626
0.12280557641824782,0.10485236844029734,0.038412112684211575,UDE,0.47354656227023567,89053,0.11514562808554883
0.02875956096431715,0.03831104902123086,0.021290872379244208,UDE,0.6014733454244892,37085,0.023549080234918775
0.012664448832820224,0.027957351605145404,0.02290893450057005,UDE,0.23590651346473762,6871,0.03294023051934724
0.09032631784101372,0.08518242168317995,0.1541349270461438,UDE,0.38622260429846217,4150,0.07030038522716145
0.0439447570446287,0.09305823737954282,0.01831333301613719,UDE,0.3826585823383755,22918,0.07621616824541871
0.32953697788321606,0.32069389885566896,0.330975864683179,UDE,0.4952924643056003,52212,0.3481322816565074
0.3987330046760652,3.903552438027851,0.6494726391110195,UDE,0.5478702916389534,28020,0.5262041677026128
0.06097346671394305,0.04721276433695447,0.054877146284664946,UDE,0.2538663381945246,69377,0.05811788097091003
0.03130280444434733,0.1167940917765745,0.015245041742252718,UDE,0.32785466839809924,49858,0.0708857755470227
0.27877402904332205,0.3742631206792136,0.21220623368887484,UDE,0.5300383362643042,96331,0.30233628239475174
0.11394966122445432,0.14679136402550005,0.20081115511585615,UDE,0.9841524213744928,16025,0.12209457616557004
0.04796918410329646,0.07280640937234403,0.03651318841411527,UDE,0.28177568922438356,93091,0.05858403516114907
0.025541793264103798,0.038724889740855944,0.004070754081455907,UDE,0.17241083043723698,79876,0.025223156817252717
0.3366544555735851,0.32348058713405986,0.40090873001248406,UDE,0.42595765341672576,88243,0.3249731319944961
0.32698469235832367,0.2891719377074477,0.34786707569887065,UDE,0.35451586409541835,66214,0.29808674969600546
0.06605213888100113,0.20625842691676108,0.010905333698124409,UDE,0.6024006897918822,91809,0.14172172718036383
0.06626318943601998,0.14864402643007418,0.06293026098942855,UDE,0.4803520593760875,91328,0.15964554142462753
0.060772574272563676,0.1562019406937699,0.06058059543090999,UDE,0.27167576879790967,19561,0.10948910711096903
0.048518638631935694,0.09379950929912075,0.10007736315564905,UDE,0.6166253271574735,9503,0.0762663320505168
0.04425494599571072,0.044272796763630634,0.02996910271826897,UDE,0.28978923133258067,44769,0.03813152369879122
0.08414334299280976,0.0667827938793937,0.028664808499146988,UDE,0.40247775771811434,27272,0.06614951730627851
0.05380396499944042,0.033151661509387836,0.03514524346708853,UDE,0.22568183105787626,93050,0.0402637731470551
