training_size,method,rmse1,rmse5,rmse10,rmse20,train_time
204,KERNEL,9.452,8.133,7.728,7.657,19655.0
204,GP,0.744,1.049,1.542,2.107,375.0
204,UDE,0.744,1.287,1.804,2.368,194.0
530,KERNEL,4.399,3.794,3.59,3.805,55207.0
530,GP,0.339,0.644,0.826,1.277,2032.0
530,UDE,0.339,0.938,1.444,2.085,459.0
800,KERNEL,0.708,1.987,1.724,1.817,51211.0
800,GP,0.124,0.107,0.142,0.253,3958.0
800,UDE,0.124,0.108,0.12,0.196,598.0
