rmse5,rmse20,rmse1,method,rmseC,seed,rmse10
0.04330883871137074,0.037345282930781584,0.06216594096566974,GP,0.8549766564378748,26058,0.03288548553999804
0.023970295407296432,0.0257027848818363,0.03907376374030519,GP,1.1556207745112788,46189,0.0317089088202678
0.05853439004414306,0.17869569500841576,0.01518028580533859,GP,0.9874668594960087,77471,0.12722529642101238
0.060643281503298924,0.1105745085468679,0.0710909786508166,GP,0.9687571008455332,38315,0.0982320605878935
0.14160141552470945,0.11909791988422724,0.23882324549241074,GP,0.8971090778635913,97565,0.1368283435751572
0.06947093195953667,0.06631610437216527,0.05321091729158062,GP,0.9461339577834244,60590,0.08428580834821027
0.026634741935439958,0.05793973252969158,0.016814921900841245,GP,0.9114861106388702,11007,0.03825789726078408
0.17927551235867886,0.09561391206138892,0.3205356005355803,GP,1.076939343318574,48073,0.12913713349919834
0.04535244394320595,0.047059677936075725,0.04723755970554713,GP,1.0664551551087602,69686,0.05178701851380463
0.051981994245614956,0.0396472264895472,0.08017402746652508,GP,0.846375439841795,1322,0.03912019896708934
0.10387772801974349,0.0631443432416633,0.18738986667963084,GP,1.0632336766331845,24415,0.0861318323262088
0.0882830448387594,0.06608197331527685,0.16411855122997757,GP,0.9805495623540592,15318,0.06747118865118527
0.02732580351848899,0.024098074087270483,0.005045166376839272,GP,1.0243118498210897,16782,0.025535674804522072
0.16822110607592114,0.2254335622146458,0.14357971080835308,GP,1.0201523344908447,96004,0.2042195979543735
0.011674498247654411,0.04776913223336272,0.007848732520155999,GP,0.9630519493256205,8694,0.01678867336973417
0.020903459681547373,0.04191929603167033,0.013187220667425559,GP,0.9668246518791044,28757,0.03218845794582548
0.03214341002062547,0.1250254108911919,0.028812585313019,GP,1.0162035018103974,60467,0.04106774883508386
0.15852254377263916,0.08530802936002906,0.22573376658122973,GP,0.985557590916862,29623,0.11342361864403919
0.020668596531983587,0.032304957604287976,0.03993682238997048,GP,1.2731862032816814,86366,0.0377725553421803
0.02253427704815393,0.1472688742179794,0.010485858292461209,GP,1.0367956776254148,18423,0.06574568227012993
0.03806899069525827,0.12437252231407621,0.061245059046837635,GP,1.0587788473839865,46984,0.066808636504464
0.047690624223143796,0.16175959425513992,0.009214678060386727,GP,1.0980385846914655,51568,0.10096944384019214
0.05237378681552511,0.05410507539105299,0.02282364321037339,GP,0.9066817555184309,67883,0.05184739510121364
0.38313892518073506,0.3597814745558063,0.3895038604441526,GP,1.1344728322990252,89255,0.37805104707324183
0.03429659885919296,0.024244130375641024,0.032198332624487486,GP,0.9742060811192753,61917,0.03140673807320583
0.035770141710441836,0.032993021481874725,0.06573212817713875,GP,1.0122833291472038,30563,0.033041924140976904
0.6182290575570527,3.0296425898488915,0.8510543997379241,GP,0.9806261731357214,54133,1.5541988717725332
0.11228634771587294,0.09797800165958494,0.038412112684211575,GP,1.0827116377030466,89053,0.10234679174044532
0.0291974082251212,0.05598602097646174,0.021290872379244208,GP,1.154186990772457,37085,0.02206714690577809
0.013199566783330927,0.032068529184317775,0.02290893450057005,GP,1.033655249528148,6871,0.03441432645452086
0.08625818666108946,0.11125047475255148,0.1541349270461438,GP,1.056813426319404,4150,0.0741767569136288
0.025862712508891297,0.0483707995179999,0.01831333301613719,GP,1.1096948170788754,22918,0.04244534691004056
0.32953697788321606,0.32069389885566896,0.330975864683179,GP,1.0046389925287034,52212,0.3481322816565074
0.5050297876736287,4.036082791214169,0.6494726391110195,GP,1.1907141011431668,28020,0.961703638625361
0.054056939990080724,0.04231996585389426,0.054877146284664946,GP,1.1072146287322642,69377,0.05446349553419085
0.036270624873490774,0.1107033226676225,0.015245041742252718,GP,0.9890679536351301,49858,0.07343118420853892
0.27877402904332205,0.3742631206792136,0.21220623368887484,GP,1.0173685140083284,96331,0.30233628239475174
0.1189513046997146,0.15733953518486402,0.20081115511585615,GP,1.248088735223622,16025,0.12986810750996225
0.02587518299775366,0.05236895538315902,0.03651318841411516,GP,1.0045840062795384,93091,0.030661626769810168
0.028075521891094742,0.044608747407827505,0.004070754081455907,GP,0.8956746838558591,79876,0.03955100620263287
0.3366544555735851,0.32348058713405986,0.40090873001248406,GP,0.9432322895932266,88243,0.3249731319944961
0.32698469235832367,0.2891719377074477,0.34786707569887065,GP,1.0766569581890402,66214,0.29808674969600546
0.0936115005261092,0.06299612121140899,0.14508736394958488,GP,0.8806561096728401,7296,0.07329194339606593
0.0429329501456868,0.13595907236457352,0.010905333698124409,GP,0.9851604447506358,91809,0.10121993670711528
0.06580195716696648,0.14927698899386635,0.06293026098942844,GP,1.0259691991219653,91328,0.16508716771557383
0.06780121895123449,0.22578959885053962,0.06058059543090999,GP,1.0009735011702983,19561,0.14824668117464132
0.04736293863506388,0.1391018724254427,0.10007736315564905,GP,1.108102444212617,9503,0.10341065351938973
0.029236725950532404,0.07356082501510144,0.02996910271826897,GP,0.8653302273245693,44769,0.034452660774548165
0.06629620226665675,0.04977525220248962,0.028664808499146988,GP,1.0078286378705457,27272,0.054659672972953405
0.04686759647485987,0.045958755877819,0.03514524346708853,GP,0.9337536662875983,93050,0.03765985490062659
