method,opt_time,rmse1,rmse10,rmse20,rmse5,seed
LSTM,152085,4.728690976202788,5.141971613168132,5.596770081463435,4.696311517920637,66214
LSTM,89094,1.123274406741455,1.386593555687154,2.0234330563016614,1.4017941946685943,54133
LSTM,87855,2.3780350561987795,5.535286411428507,5.994681713639792,4.294685193987394,67883

LSTM,89593,0.04752089398991988,0.9864054887519114,2.3027403822228187,1.2863953310847152,26058
LSTM,87270,3.29184273526056,4.265253829869684,5.060906992935759,3.76893721202884,93091
LSTM,92527,0.9699796384778203,3.6634524908794677,3.947218169350502,1.9536078334691898,28020
LSTM,91112,0.14400293863730873,3.5199509431342983,5.265655189417544,1.9373043602879658,29623
LSTM,92017,1.7796480346298686,2.1767552272201414,2.6385577935640523,2.19034477203253,1322
LSTM,94689,2.644023169649662,2.8045562625259812,2.2554678618266553,3.1712145196404133,89255
LSTM,99427,1.3294607310773774,1.8854117979279055,4.170574346112401,0.7582649307382469,46189
LSTM,91345,1.4524184686431951,1.5011413298311997,1.6412040707748112,1.4358164953430526,79876
LSTM,103694,2.1120853611531594,2.783644600509304,3.2317496346464862,2.1666644887378363,89053
LSTM,106730,3.7584651766237425,3.445748351270186,3.0347350693127493,3.9784458188132,86366
LSTM,99931,2.25620414530289,2.211230031239005,1.6141264736567449,2.825153116106658,22918
LSTM,86403,5.964195946545701,4.431466184367072,5.516912287741318,4.848626069467797,51568
LSTM,108436,2.291071738720241,1.2726680134118005,2.18826919327446,1.435274777133435,16025
LSTM,102785,1.4506266553260563,0.897028859096492,0.9982435509537934,0.9129912134092847,24415
LSTM,99280,8.485104621427254,6.96021065310826,6.846871959568542,7.159857936032382,16782
LSTM,97177,2.0452434217058304,1.232218063864086,0.9837141436988562,1.2446547173038707,52212
LSTM,107561,2.2062527932800258,1.7429690888526141,1.2884311803095085,1.1872638076561197,69377
LSTM,108026,2.962704865463863,1.1451224626622147,1.0476800472796115,1.360434897481952,28757
LSTM,105312,1.921523016586125,0.897074385084112,1.0044666652986989,0.9470176209547511,30563
LSTM,104369,4.763992433538623,3.859621745940663,2.8773921626842296,4.824771267652049,96331
LSTM,105760,12.74560803341297,11.476162940758048,10.52943082753971,11.6619897475707,49858
LSTM,91480,0.4738426755985543,1.2088445529249872,1.148310079983681,0.3300111480690048,8694
LSTM,103690,3.4400175305888947,1.749168652512306,1.5796218869422622,1.9511405412829739,37085
LSTM,90954,3.390953421871366,2.958466977915755,2.9466621416081322,3.0045382879439035,69686
LSTM,87062,0.25651915953762394,0.4413180082391459,1.4333760527203956,0.3073960339174779,60590
LSTM,92580,0.3181423184708354,0.7211638664942842,1.6260800905772064,0.5821372644043628,15318
LSTM,133591,6.795574609293034,3.9526180173278784,2.8275934975550894,5.274329913834022,7296
561
LSTM,121858,5.111664247262588,6.966179552619884,8.1212375860438,6.381998964303677,91328
LSTM,108686,2.895160071121701,1.4173666626552235,1.116940973228935,1.9025357360461963,27272
LSTM,156408,0.06885307998646795,1.6128962766931572,1.365262016133519,1.39057095170733,91809
LSTM,120039,3.060852398925869,1.9648404959107668,3.3663669487424066,1.9802231423538266,44769
LSTM,115828,1.3648643935987828,1.2507783167200048,1.7509168125720853,0.6948262793728834,93050
LSTM,86262,1.341042774634717,2.35228607114012,3.275382216323109,1.3023304732827403,4150
LSTM,133570,5.114226399294622,6.882658325540825,8.773121426013581,5.9001054195385105,9503
LSTM,84121,4.57825809266857,4.8877809170430915,4.7162058712484,4.9372087045524715,77471
LSTM,164938,5.544950288056954,7.879837052542398,7.988176561836887,7.166217247590175,88243
LSTM,82634,2.1306593867344095,4.68886801569772,7.574861640729139,5.563088993154604,46984
LSTM,93887,2.520410604801567,1.9641100194993544,2.4287929045795025,2.5609150155016964,97565
LSTM,82824,0.8939008011355494,1.2101043895937649,1.6870226384467824,1.0756069610481778,6871
LSTM,87531,2.3086075343472974,2.0160784346253857,2.3285203062672637,2.4492391550442005,96004
LSTM,96301,2.4596950536954303,1.5260638173055519,1.9100030476315433,1.4729233409892262,60467
LSTM,91454,1.0685529817602095,0.999305441789229,0.8568416496254005,0.6081462332036629,38315
LSTM,94802,3.8500448427309033,4.553174983577921,3.637227330825124,4.299194305649215,61917
