method,rmse1,rmse10,rmse20,rmse5,seed
DE-GP,0.238823245,0.136828344,0.11909792,0.141601416,97565
DE-GP,0.053210917,0.084285808,0.066316104,0.069470932,60590
DE-GP,0.016814922,0.038257897,0.057939733,0.026634742,11007
DE-GP,0.320535601,0.129137133,0.095613912,0.179275512,48073
DE-GP,0.04723756,0.051787019,0.047059678,0.045352444,69686
DE-GP,0.080174027,0.039120199,0.039647226,0.051981994,1322
DE-GP,0.187389867,0.086131832,0.063144343,0.103877728,24415
DE-GP,0.164118551,0.067471189,0.066081973,0.088283045,15318
DE-GP,0.005045166,0.025535675,0.024098074,0.027325804,16782
DE-GP,0.143579711,0.204219598,0.225433562,0.168221106,96004
DE-GP,0.007848733,0.016788673,0.047769132,0.011674498,8694
DE-GP,0.013187221,0.032188458,0.041919296,0.02090346,28757
DE-GP,0.028812585,0.041067749,0.125025411,0.03214341,60467
DE-GP,0.225733767,0.113423619,0.085308029,0.158522544,29623
DE-GP,0.039936822,0.037772555,0.032304958,0.020668597,86366
DE-GP,0.010485858,0.065745682,0.147268874,0.022534277,18423
DE-GP,0.061245059,0.066808637,0.124372522,0.038068991,46984
DE-GP,0.009214678,0.100969444,0.161759594,0.047690624,51568
DE-GP,0.022823643,0.051847395,0.054105075,0.052373787,67883
DE-GP,0.38950386,0.378051047,0.359781475,0.383138925,89255
DE-GP,0.032198333,0.031406738,0.02424413,0.034296599,61917
DE-GP,0.065732128,0.033041924,0.032993021,0.035770142,30563
DE-GP,0.8510544,1.554198872,3.02964259,0.618229058,54133
DE-GP,0.038412113,0.102346792,0.097978002,0.112286348,89053
DE-GP,0.021290872,0.022067147,0.055986021,0.029197408,37085
DE-GP,0.022908935,0.034414326,0.032068529,0.013199567,6871
DE-GP,0.154134927,0.074176757,0.111250475,0.086258187,4150
DE-GP,0.018313333,0.042445347,0.0483708,0.025862713,22918
DE-GP,0.330975865,0.348132282,0.320693899,0.329536978,52212
DE-GP,0.649472639,0.961703639,4.036082791,0.505029788,28020
DE-GP,0.054877146,0.054463496,0.042319966,0.05405694,69377
DE-GP,0.015245042,0.073431184,0.110703323,0.036270625,49858
DE-GP,0.212206234,0.302336282,0.374263121,0.278774029,96331
DE-GP,0.200811155,0.129868108,0.157339535,0.118951305,16025
DE-GP,0.036513188,0.030661627,0.052368955,0.025875183,93091
DE-GP,0.004070754,0.039551006,0.044608747,0.028075522,79876
DE-GP,0.40090873,0.324973132,0.323480587,0.336654456,88243
DE-GP,0.347867076,0.29808675,0.289171938,0.326984692,66214
DE-GP,0.145087364,0.073291943,0.062996121,0.093611501,7296
DE-GP,0.010905334,0.101219937,0.135959072,0.04293295,91809
DE-GP,0.062930261,0.165087168,0.149276989,0.065801957,91328
DE-GP,0.060580595,0.148246681,0.225789599,0.067801219,19561
